il,ilce,mahalle,lat,lon
ADANA,CEYHAN,MİTHAT PAŞA,37.0215837,35.8257141
ADANA,CEYHAN,NAMIK KEMAL,37.0120406,35.8196416
ADANA,CEYHAN,NARLIK,36.9149417,35.8527215
ADANA,CEYHAN,NAZIMBEY YENİKÖY,36.950199,35.76318
ADANA,CEYHAN,SARIBAHÇE,37.1905745,35.8294262
ADANA,CEYHAN,SARIMAZI,36.966782,35.969925
ADANA,CEYHAN,SARIMAZI SB,36.966782,35.969924999999996
ADANA,CEYHAN,SARISAKAL,37.0125204,35.8054366
ADANA,CEYHAN,SAĞIRLAR,36.9755214,35.9262581
ADANA,CEYHAN,SAĞKAYA,37.1784835,35.6890448
ADANA,CEYHAN,SELİMİYE,36.996223,35.96336
ADANA,CEYHAN,SOYSALLI,37.144539,35.6653287
ADANA,CEYHAN,SOĞUKPINAR,37.028633,35.963673
ADANA,CEYHAN,SİRKELİ,36.9971153,35.751377
ADANA,CEYHAN,TATARLI,37.124062,36.054703
ADANA,CEYHAN,TATLIKUYU,37.1175,35.7124737
ADANA,CEYHAN,TOKTAMIŞ,37.0018817,35.7685147
ADANA,CEYHAN,TUMLU,37.150242,35.7072937
ADANA,CEYHAN,ULUS,37.0271966,35.8236421
ADANA,CEYHAN,VEYSİYE,37.0677129,35.9643452
ADANA,CEYHAN,YALAK,37.1112426,35.9298082
ADANA,CEYHAN,YARSUAT,37.0440708,35.8095231
ADANA,CEYHAN,YELLİBEL,36.8682073,35.7350488
ADANA,CEYHAN,YEŞİLBAHÇE,37.1689817,35.8230472
ADANA,CEYHAN,YEŞİLDAM,37.2269013,35.8782809
ADANA,CEYHAN,YILANKALE,37.017708,35.75692
ADANA,CEYHAN,ZÜBEYDE HANIM,37.0317532,35.8137287
ADANA,CEYHAN,ÇAKALDERE,36.99099,35.684132
ADANA,CEYHAN,ÇATAKLI,37.129109,36.0540705
ADANA,CEYHAN,ÇEVRETEPE,36.900021,35.823223
ADANA,CEYHAN,ÇOKÇAPINAR,36.987408,35.710888
ADANA,CEYHAN,ÇİFTLİKLER,36.9872627,35.879085
ADANA,CEYHAN,ÇİÇEKLİ,37.081741,35.6970897
ADANA,CEYHAN,ÜÇDUTYEŞİLOVA,37.232906,35.7553397
ADANA,CEYHAN,İMRAN,37.035255,35.973129
ADANA,CEYHAN,İNCEYER,37.1792348,35.8650189
ADANA,CEYHAN,İNÖNÜ,37.0453958,35.8191283
ADANA,CEYHAN,İSALI,36.9209485,35.718853
ADANA,CEYHAN,İSTİKLAL,37.0297301,35.8322198
ADANA,CEYHAN,ŞAHİN ÖZBİLEN,37.0349878,35.8294746
ADANA,CEYHAN,ŞEHİT HACI İBRAHİM,37.035967,35.8156559
ADANA,FEKE,AKKAYA,37.7362068,35.8904027
ADANA,FEKE,AKOLUK,37.745124,36.0176551
ADANA,FEKE,BAHÇECİK,37.983883,35.7381247
ADANA,FEKE,BAĞDATLI,37.9161766,35.845463
ADANA,FEKE,BELENKÖY,37.8625598,35.8526311
ADANA,FEKE,DEĞİRMENCİUŞAĞI,37.833851,35.7727467
ADANA,FEKE,GAFFARUŞAĞI,37.8413174,35.6877427
ADANA,FEKE,GEDİKLİ,38.0257742,35.9238551
ADANA,FEKE,GÖBELLİ,37.9062023,35.9532715
ADANA,FEKE,GÖKÇELİ,37.8318445,35.8542681
ADANA,FEKE,GÜRÜMZE,37.986988,35.8066557
ADANA,FEKE,GÜZPINARI,37.963268,35.8962207
ADANA,FEKE,HIDIRUŞAĞI,37.871654,35.7692747
ADANA,FEKE,KALEYÜZÜ,37.831543,35.7107197
ADANA,FEKE,KARACAUŞAĞI,37.8042911,35.8773565
ADANA,FEKE,KAYADİBİ,37.7744475,35.7744937
ADANA,FEKE,KAZANCI,37.8082477,35.9377347
ADANA,FEKE,KAŞALTI,37.7268829,35.9755134
ADANA,FEKE,KEKLİKÇİ,37.8367931,35.9117103
ADANA,FEKE,KIRIKUŞAĞI,37.7841326,35.9883514
ADANA,FEKE,KISACIKLI,37.766945,35.8310997
ADANA,FEKE,KIZILYER,37.885735,35.9043957
ADANA,FEKE,KONAKKURAN,37.72298,35.7608027
ADANA,FEKE,KOVUKÇINAR,37.812351,36.0068127
ADANA,FEKE,KOÇYAZI,37.7245088,35.7989042
ADANA,FEKE,MANSURLU,37.8672639,35.6233923
ADANA,FEKE,MUSALAR,37.8176844,35.6814399
ADANA,FEKE,OLUCAK,37.8822615,35.8761369
ADANA,FEKE,ORMANCIK,37.8711494,35.6894727
ADANA,FEKE,ORTAKÖY,37.782402,35.7030867
ADANA,FEKE,ORUÇLU,37.924248,35.6844817
ADANA,FEKE,PAŞALI,37.7664583,35.9855359
ADANA,FEKE,SÜLEMİŞLİ,37.8491756,35.9391385
ADANA,FEKE,SÜPHANDERE,37.94025,35.8519507
ADANA,FEKE,TENKERLİ,37.7543833,35.9593578
ADANA,FEKE,TOKMANAKLI,37.7020131,36.0073617
ADANA,FEKE,TORTULU,37.813499,35.8178777
ADANA,FEKE,UĞURLUBAĞ,37.728451,35.9308538
ADANA,FEKE,YAYLAPINAR,37.886631,35.8286887
ADANA,FEKE,YEREBAKAN,37.816551,35.8430817
ADANA,FEKE,YEŞİL DÜŞMÜŞ,37.8140898,35.9092212
ADANA,FEKE,ÇANDIRLAR,37.8741831,35.7527773
ADANA,FEKE,ÇONDU,37.9103681,35.659027
ADANA,FEKE,ÇÜRÜKLER,37.8858878,35.9762398
ADANA,FEKE,İNCİRCİ,37.744629,35.9978407
ADANA,FEKE,ŞAHMURATLI,37.925081,35.6148897
ADANA,KARATAŞ,ADALI,36.630981,35.5404047
ADANA,KARATAŞ,ATAKÖY,36.752564,35.113769
ADANA,KARATAŞ,BAHÇE,36.611977,35.446663
ADANA,KARATAŞ,BEBELİ,36.64048,35.4908707
ADANA,KARATAŞ,DAMLAPINAR,36.776253,35.124103
ADANA,KARATAŞ,DEVELİÖREN,36.737984,35.449078
ADANA,KARATAŞ,DOLAPLI,36.692867,35.244102
ADANA,KARATAŞ,GÖLKAYA,36.591659,35.368614
ADANA,KARATAŞ,HACIHASAN,36.728088,35.274963
ADANA,KARATAŞ,HASIRAĞACI,36.720474,35.081131
ADANA,KARATAŞ,HELVACI,36.714592,35.360203
ADANA,KARATAŞ,KAPI,36.647858,35.195957
ADANA,KARATAŞ,KARAGÖÇER,36.7109719,35.1523873
ADANA,KARATAŞ,KARATAŞ,36.581688,35.3699
ADANA,KARATAŞ,KARŞIYAKA,36.561984,35.3808134
ADANA,KARATAŞ,KEMALİYE,36.564615,35.3816755
ADANA,KARATAŞ,KESİK,36.684574,35.448563
ADANA,KARATAŞ,KIRHASAN,36.6892194,35.3120424
ADANA,KARATAŞ,KIZILTAHTA,36.749958,35.480526
ADANA,KARATAŞ,KİREMİTLİ,36.708511,35.284271
