İl,İlçe,Bitki,Çiçeklenme Başlangıç,Çiçeklenme Bitiş
Malatya,Akçadağ,Geven,1 Haziran,15 Eylül
Malatya,Akçadağ,Kırkekiği,1 Haziran,15 Eylül
Malatya,Akçadağ,K. Yoncası,1 Haziran,15 Eylül
Malatya,Akçadağ,Ü Çgül,1 Haziran,15 Eylül
Malatya,Akçadağ,Sütleğen,1 Haziran,15 Eylül
Malatya,Akçadağ,Tüysüz Eşek Dikeni.,1 Haziran,15 Eylül
Malatya,Arapgir,Geven,25 Haziran,10 Ağustos
Malatya,Arapgir,Kekik,25 Haziran,10 Ağustos
Malatya,Arapgir,Üçgül,25 Haziran,10 Ağustos
Malatya,Arapgir,Çakşır,25 Haziran,10 Ağustos
Malatya,Arguvan,Hardal,1 Mayıs,31 Ağustos
Malatya,Arguvan,Meyve Ağaçları,1 Mayıs,31 Ağustos
Malatya,Arguvan,Yonca,1 Mayıs,31 Ağustos
Malatya,Arguvan,Üçgül,1 Mayıs,31 Ağustos
Malatya,Arguvan,Sütleğen,1 Mayıs,31 Ağustos
Malatya,Battalgazi,Geven,1 Haziran,15 Ağustos
Malatya,Battalgazi,Kırkekiği,1 Haziran,15 Ağustos
Malatya,Battalgazi,K. Yoncası,1 Haziran,15 Ağustos
Malatya,Battalgazi,Ü Çgül,1 Haziran,15 Ağustos
Malatya,Darende,Geven,15 Mayıs,1 Ağustos
Malatya,Darende,Kekik,15 Mayıs,1 Ağustos
Malatya,Darende,Yonca,15 Mayıs,1 Ağustos
Malatya,Darende,Üçgül,15 Mayıs,1 Ağustos
Malatya,Darende,Ki R Çiçekleri,15 Mayıs,1 Ağustos
Malatya,Doğanşehir,Geven,3 Haziran,5 Ağustos
Malatya,Doğanşehir,Kekik,3 Haziran,5 Ağustos
Malatya,Doğanşehir,Adaçayı,3 Haziran,5 Ağustos
Malatya,Doğanşehir,Taşyoncası,3 Haziran,5 Ağustos
Malatya,Doğanyol,Geven,1 Haziran,15 Ağustos
Malatya,Doğanyol,Kırkekiği,1 Haziran,15 Ağustos
Malatya,Doğanyol,Yonca,1 Haziran,15 Ağustos
Malatya,Hekimhan,Geven,1 Mayıs,10 Ağustos
Malatya,Hekimhan,Kırkekiği,1 Mayıs,10 Ağustos
Malatya,Hekimhan,K. Yoncası,1 Mayıs,10 Ağustos
Malatya,Hekimhan,Y Abani Korunga,1 Mayıs,10 Ağustos
Malatya,Hekimhan,Ballibaba,1 Mayıs,10 Ağustos
Malatya,Kale,Keven,25 Mayıs,5 Ağustos
Malatya,Kale,Kekik,25 Mayıs,5 Ağustos
Malatya,Kale,Y. Korunga,25 Mayıs,5 Ağustos
Malatya,Kale,T. Yonca,25 Mayıs,5 Ağustos
Malatya,Kale,Sığır Dili,25 Mayıs,5 Ağustos
Malatya,Kale,Alıç,25 Mayıs,5 Ağustos
Malatya,Kale,Adaçayı,25 Mayıs,5 Ağustos
Malatya,Kuluncak,Geven,1 Mayıs,1 Eylül
Malatya,Kuluncak,Kırkekiği,1 Mayıs,1 Eylül
Malatya,Kuluncak,Yonca,1 Mayıs,1 Eylül
Malatya,Kuluncak,Üçgü İ,1 Mayıs,1 Eylül
Malatya,Kuluncak,Kirpi Otu,1 Mayıs,1 Eylül
Malatya,Kuluncak,Topbaş,1 Mayıs,1 Eylül
Malatya,Pütürge,Geven,20 Mayıs,1 Eylül
Malatya,Pütürge,Kekik,20 Mayıs,1 Eylül
Malatya,Pütürge,Süpürge Otu,20 Mayıs,1 Eylül
Malatya,Yazıhan,Yonca,1 Mayıs,1 Ağustos
Malatya,Yazıhan,Misir,1 Mayıs,1 Ağustos
Malatya,Yeşilyurt,Geven,10 Haziran,1 Ağustos
Malatya,Yeşilyurt,Kırkekiği,10 Haziran,1 Ağustos
Malatya,Yeşilyurt,K. Yoncası,10 Haziran,1 Ağustos
Malatya,Yeşilyurt,Ü Çgül,10 Haziran,1 Ağustos
Malatya,Yeşilyurt,Sütleğen,10 Haziran,1 Ağustos
Malatya,Yeşilyurt,Sığır Kuyruğu,10 Haziran,1 Ağustos
