İl,İlçe,Bitki,Çiçeklenme Başlangıç,Çiçeklenme Bitiş
Bartın,Merkez,Kestane,25 Mayıs,20 Haziran
Bartın,Merkez,İhlamur,25 Mayıs,20 Haziran
Bartın,Amasra,Kestane,25 Mayıs,20 Haziran
Bartın,Amasra,İhlamur,25 Mayıs,20 Haziran
Bartın,Kurucaşile,Kestane,25 Mayıs,20 Haziran
Bartın,Kurucaşile,İhlamur,25 Mayıs,20 Haziran
Bartın,Ulus,Kestane,25 Mayıs,20 Haziran
Bartın,Ulus,İhlamur,25 Mayıs,20 Haziran
Bartın,Ulus,Kır Çiçekleri,01 Mayıs,21 Haziran
