İl,İlçe,Bitki,Çiçeklenme Başlangıç,Çiçeklenme Bitiş
Muş,Merkez,Elma,20 Nisan,15 Mayıs
Muş,Hasköy,Elma,20 Nisan,15 Mayıs
Muş,Korkut,Elma,20 Nisan,15 Mayıs
Muş,Bulanık,Elma,20 Nisan,15 Mayıs
Muş,Malazgirt,Elma,20 Nisan,15 Mayıs
Muş,Varto,Elma,20 Nisan,15 Mayıs
Muş,Merkez,Armut,20 Nisan,15 Mayıs
Muş,Hasköy,Armut,20 Nisan,15 Mayıs
Muş,Korkut,Armut,20 Nisan,15 Mayıs
Muş,Bulanık,Armut,20 Nisan,15 Mayıs
Muş,Malazgirt,Armut,20 Nisan,15 Mayıs
Muş,Varto,Armut,20 Nisan,15 Mayıs
Muş,Merkez,Erik,15 Nisan,10 Mayıs
Muş,Hasköy,Erik,15 Nisan,10 Mayıs
Muş,Korkut,Erik,15 Nisan,10 Mayıs
Muş,Bulanık,Erik,15 Nisan,10 Mayıs
Muş,Malazgirt,Erik,15 Nisan,10 Mayıs
Muş,Varto,Erik,15 Nisan,10 Mayıs
Muş,Merkez,Kiraz,15 Nisan,10 Mayıs
Muş,Hasköy,Kiraz,15 Nisan,10 Mayıs
Muş,Korkut,Kiraz,15 Nisan,10 Mayıs
Muş,Bulanık,Kiraz,15 Nisan,10 Mayıs
Muş,Malazgirt,Kiraz,15 Nisan,10 Mayıs
Muş,Varto,Kiraz,15 Nisan,10 Mayıs
Muş,Merkez,Geven,20 Haziran,15 Temmuz
Muş,Hasköy,Geven,20 Haziran,15 Temmuz
Muş,Korkut,Geven,20 Haziran,15 Temmuz
Muş,Bulanık,Geven,20 Haziran,15 Temmuz
Muş,Malazgirt,Geven,20 Haziran,15 Temmuz
Muş,Varto,Geven,20 Haziran,15 Temmuz
Muş,Merkez,Üçgül,20 Mayıs,15 Haziran
Muş,Hasköy,Üçgül,20 Mayıs,15 Haziran
Muş,Korkut,Üçgül,20 Mayıs,15 Haziran
Muş,Bulanık,Üçgül,20 Mayıs,15 Haziran
Muş,Malazgirt,Üçgül,20 Mayıs,15 Haziran
Muş,Varto,Üçgül,20 Mayıs,15 Haziran
Muş,Merkez,Kekik,10 Haziran,5 Temmuz
Muş,Hasköy,Kekik,10 Haziran,5 Temmuz
Muş,Korkut,Kekik,10 Haziran,5 Temmuz
Muş,Bulanık,Kekik,10 Haziran,5 Temmuz
Muş,Malazgirt,Kekik,10 Haziran,5 Temmuz
Muş,Varto,Kekik,10 Haziran,5 Temmuz
Muş,Merkez,Kenger,25 Temmuz,25 Ağustos
Muş,Hasköy,Kenger,25 Temmuz,25 Ağustos
Muş,Korkut,Kenger,25 Temmuz,25 Ağustos
Muş,Bulanık,Kenger,25 Temmuz,25 Ağustos
Muş,Malazgirt,Kenger,25 Temmuz,25 Ağustos
Muş,Varto,Kenger,25 Temmuz,25 Ağustos
Muş,Merkez,Korunga,15 Mayıs,15 Haziran
Muş,Hasköy,Korunga,15 Mayıs,15 Haziran
Muş,Korkut,Korunga,15 Mayıs,15 Haziran
Muş,Bulanık,Korunga,15 Mayıs,15 Haziran
Muş,Malazgirt,Korunga,15 Mayıs,15 Haziran
Muş,Varto,Korunga,15 Mayıs,15 Haziran
Muş,Merkez,Ayçiçeği,15 Mayıs,15 Haziran
Muş,Hasköy,Ayçiçeği,15 Mayıs,15 Haziran
Muş,Korkut,Ayçiçeği,15 Mayıs,15 Haziran
Muş,Bulanık,Ayçiçeği,15 Mayıs,15 Haziran
Muş,Malazgirt,Ayçiçeği,15 Mayıs,15 Haziran
Muş,Varto,Ayçiçeği,15 Mayıs,15 Haziran
Muş,Merkez,Hindiba,15 Mayıs,15 Haziran
Muş,Hasköy,Hindiba,15 Mayıs,15 Haziran
Muş,Korkut,Hindiba,15 Mayıs,15 Haziran
Muş,Bulanık,Hindiba,15 Mayıs,15 Haziran
Muş,Malazgirt,Hindiba,15 Mayıs,15 Haziran
Muş,Varto,Hindiba,15 Mayıs,15 Haziran
Muş,Merkez,Yonca,15 Mayıs,15 Haziran
Muş,Hasköy,Yonca,15 Mayıs,15 Haziran
Muş,Korkut,Yonca,15 Mayıs,15 Haziran
Muş,Bulanık,Yonca,15 Mayıs,15 Haziran
Muş,Malazgirt,Yonca,15 Mayıs,15 Haziran
Muş,Varto,Yonca,15 Mayıs,15 Haziran
Muş,Merkez,Meşe,15 Mayıs,15 Haziran
Muş,Hasköy,Meşe,15 Mayıs,15 Haziran
Muş,Korkut,Meşe,15 Mayıs,15 Haziran
Muş,Bulanık,Meşe,15 Mayıs,15 Haziran
Muş,Malazgirt,Meşe,15 Mayıs,15 Haziran
Muş,Varto,Meşe,15 Mayıs,15 Haziran
Muş,Merkez,Yabani Fiğ,15 Mayıs,30 Haziran
Muş,Hasköy,Yabani Fiğ,15 Mayıs,30 Haziran
Muş,Korkut,Yabani Fiğ,15 Mayıs,30 Haziran
Muş,Bulanık,Yabani Fiğ,15 Mayıs,30 Haziran
Muş,Malazgirt,Yabani Fiğ,15 Mayıs,30 Haziran
Muş,Varto,Yabani Fiğ,15 Mayıs,30 Haziran
Muş,Merkez,Çakşır,15 Mayıs,30 Haziran
Muş,Hasköy,Çakşır,15 Mayıs,30 Haziran
Muş,Korkut,Çakşır,15 Mayıs,30 Haziran
Muş,Bulanık,Çakşır,15 Mayıs,30 Haziran
Muş,Malazgirt,Çakşır,15 Mayıs,30 Haziran
Muş,Varto,Çakşır,15 Mayıs,30 Haziran
Muş,Merkez,Sarı Diken,15 Haziran,30 Ağustos
Muş,Hasköy,Sarı Diken,15 Haziran,30 Ağustos
Muş,Korkut,Sarı Diken,15 Haziran,30 Ağustos
Muş,Bulanık,Sarı Diken,15 Haziran,30 Ağustos
Muş,Malazgirt,Sarı Diken,15 Haziran,30 Ağustos
Muş,Varto,Sarı Diken,15 Haziran,30 Ağustos
Muş,Merkez,Akasya,10 Mayıs,10 Haziran
Muş,Hasköy,Akasya,10 Mayıs,10 Haziran
Muş,Korkut,Akasya,10 Mayıs,10 Haziran
Muş,Bulanık,Akasya,10 Mayıs,10 Haziran
Muş,Malazgirt,Akasya,10 Mayıs,10 Haziran
Muş,Varto,Akasya,10 Mayıs,10 Haziran
Muş,Merkez,Topuz Diken,15 Haziran,15 Eylül
Muş,Hasköy,Topuz Diken,15 Haziran,15 Eylül
Muş,Korkut,Topuz Diken,15 Haziran,15 Eylül
Muş,Bulanık,Topuz Diken,15 Haziran,15 Eylül
Muş,Malazgirt,Topuz Diken,15 Haziran,15 Eylül
Muş,Varto,Topuz Diken,15 Haziran,15 Eylül
Muş,Merkez,Süperge Otu,20 Temmuz,15 Ağustos
Muş,Hasköy,Süperge Otu,20 Temmuz,15 Ağustos
Muş,Korkut,Süperge Otu,20 Temmuz,15 Ağustos
Muş,Bulanık,Süperge Otu,20 Temmuz,15 Ağustos
Muş,Malazgirt,Süperge Otu,20 Temmuz,15 Ağustos
Muş,Varto,Süperge Otu,20 Temmuz,15 Ağustos
Muş,Merkez,Meyan Otu,1 Haziran,25 Haziran
Muş,Hasköy,Meyan Otu,1 Haziran,25 Haziran
Muş,Korkut,Meyan Otu,1 Haziran,25 Haziran
Muş,Bulanık,Meyan Otu,1 Haziran,25 Haziran
Muş,Malazgirt,Meyan Otu,1 Haziran,25 Haziran
Muş,Varto,Meyan Otu,1 Haziran,25 Haziran
Muş,Merkez,Söğüt,20 Nisan,10 Mayıs
Muş,Hasköy,Söğüt,20 Nisan,10 Mayıs
Muş,Korkut,Söğüt,20 Nisan,10 Mayıs
Muş,Bulanık,Söğüt,20 Nisan,10 Mayıs
Muş,Malazgirt,Söğüt,20 Nisan,10 Mayıs
Muş,Varto,Söğüt,20 Nisan,10 Mayıs
Muş,Merkez,Ballibaba,20 Mayıs,20 Haziran
Muş,Hasköy,Ballibaba,20 Mayıs,20 Haziran
Muş,Korkut,Ballibaba,20 Mayıs,20 Haziran
Muş,Bulanık,Ballibaba,20 Mayıs,20 Haziran
Muş,Malazgirt,Ballibaba,20 Mayıs,20 Haziran
Muş,Varto,Ballibaba,20 Mayıs,20 Haziran
Muş,Merkez,Sığırkuyruğu,10 Haziran,25 Temmuz
Muş,Hasköy,Sığırkuyruğu,10 Haziran,25 Temmuz
Muş,Korkut,Sığırkuyruğu,10 Haziran,25 Temmuz
Muş,Bulanık,Sığırkuyruğu,10 Haziran,25 Temmuz
Muş,Malazgirt,Sığırkuyruğu,10 Haziran,25 Temmuz
Muş,Varto,Sığırkuyruğu,10 Haziran,25 Temmuz
