İl,İlçe,Bitki,Çiçeklenme Başlangıç,Çiçeklenme Bitiş
Kahramanmaraş,Afşin,Kekik,15 Mayıs,15 Ağustos
Kahramanmaraş,Afşin,Mısır,15 Mayıs,15 Eylül
Kahramanmaraş,Andırın,Kiraz,15 Mayıs,15 Mayıs
Kahramanmaraş,Andırın,Kekik,15 Mayıs,15 Ağustos
Kahramanmaraş,Andırın,Mandarin,15 Nisan,15 Nisan
Kahramanmaraş,Çağlayancerit,Kiraz,15 Nisan,15 Nisan
Kahramanmaraş,Çağlayancerit,Kekik,15 Mayıs,15 Ağustos
Kahramanmaraş,Çağlayancerit,Elma,15 Nisan,15 Mayıs
Kahramanmaraş,Dulkadiroğlu,Mısır,15 Mayıs,15 Eylül
Kahramanmaraş,Dulkadiroğlu,Badem,15 Nisan,15 Mayıs
Kahramanmaraş,Dulkadiroğlu,Sumak,15 Haziran,15 Ağustos
Kahramanmaraş,Dulkadiroğlu,Yonca,15 Nisan,15 Eylül
Kahramanmaraş,Ekinözü,Geven,15 Nisan,15 Ağustos
Kahramanmaraş,Ekinözü,Lavanta,15 Mart,15 Nisan
Kahramanmaraş,Ekinözü,Elma,15 Nisan,15 Mayıs
Kahramanmaraş,Elbistan,Kayısı,15 Nisan,15 Mayıs
Kahramanmaraş,Elbistan,Badem,15 Nisan,15 Mayıs
Kahramanmaraş,Elbistan,Elma,15 Nisan,15 Mayıs
Kahramanmaraş,Elbistan,Kiraz,15 Nisan,15 Mayıs
Kahramanmaraş,Elbistan,Yonca,15 Nisan,15 Eylül
Kahramanmaraş,Elbistan,Ayçiçeği,15 Temmuz,15 Ağustos
Kahramanmaraş,Göksun,Elma,15 Nisan,15 Mayıs
Kahramanmaraş,Göksun,Kiraz,15 Nisan,15 Nisan
Kahramanmaraş,Göksun,Kekik,15 Mayıs,15 Ağustos
Kahramanmaraş,Nurhak,Elma,15 Nisan,15 Mayıs
Kahramanmaraş,Onikişubat,Mısır,15 Mayıs,15 Eylül
Kahramanmaraş,Onikişubat,Ayva,15 Nisan,15 Mayıs
Kahramanmaraş,Onikişubat,Elma,15 Nisan,15 Mayıs
Kahramanmaraş,Onikişubat,Kiraz,15 Nisan,15 Mayıs
Kahramanmaraş,Onikişubat,Kekik,15 Mayıs,15 Ağustos
Kahramanmaraş,Onikişubat,Geven,15 Nisan,15 Ağustos
Kahramanmaraş,Onikişubat,Kiraz,15 Nisan,15 Nisan
Kahramanmaraş,Onikişubat,Yonca,15 Nisan,15 Eylül
Kahramanmaraş,Pazarcık,Mısır,15 Mayıs,15 Eylül
Kahramanmaraş,Pazarcık,Badem,15 Mart,15 Mart
Kahramanmaraş,Türkoğlu,Mısır,15 Mayıs,15 Eylül
Kahramanmaraş,Türkoğlu,Badem,15 Mart,15 Mart
