İl,İlçe,Bitki,Çiçeklenme Başlangıç,Çiçeklenme Bitiş
Mardin,Artuklu,Badem,1 Nisan,20 Mayıs
Mardin,Artuklu,Elma,1 Nisan,1 Haziran
Mardin,Artuklu,Koyun Yumağı,1 Nisan,1 Haziran
Mardin,Artuklu,Sumak,1 Nisan,1 Haziran
Mardin,Artuklu,Üçgül,1 Nisan,1 Haziran
Mardin,Artuklu,Alıç,1 Nisan,1 Haziran
Mardin,Artuklu,Karahindiba,1 Nisan,1 Haziran
Mardin,Artuklu,Kapari,10 haziran,10 temmuz
Mardin,Artuklu,Kiraz,1 Nisan,20 Mayıs
Mardin,Artuklu,Nar,1 Temmuz,1 Agustos
Mardin,Artuklu,Pamuk,1 Temmuz,1 Agustos
Mardin,Savur,Acı Badem,25 Şubat,15 Mart
Mardin,Savur,Alıç,15 Haziran,1 Temmuz
Mardin,Savur,Bade Ve Meşe Salgısı,30 Ağustos,30 Eylül
Mardin,Savur,Badem,10 Mart,25 Mart
Mardin,Savur,Dağ Kekiği,25 Haziran,15 Temmuz
Mardin,Savur,Deve Dikenı ( Topuz Dikeni ),10 Haziran,30 Haziran
Mardin,Savur,Geven,25 Haziran,20 Temmuz
Mardin,Savur,Sarı Diken,1 Mayıs,15 Mayıs
Mardin,Savur,Üçgül,15 Nisan,20 Mayıs
Mardin,Nusaybin,Yavşan Otu Çiçeği,10 Mayıs,30 Haziran
Mardin,Nusaybin,Kayısı,15 Mart,20Nisan
Mardin,Midyat,Nektarin,15 Mart,15Nisan
Mardin,Midyat,Acı Badem,1 Mart,15 Mart
Mardin,Midyat,Alıç,15 Haziran,1 Temmuz
Mardin,Midyat,Bade Ve Meşe Salgısı,30 Ağustos,30 Eylül
Mardin,Midyat,Badem,15 Mart,1 Nisan
Mardin,Midyat,Dağ Kekiği,25 Haziran,15 Temmuz
Mardin,Midyat,Deve Dikenı ( Topuz Dikeni ),10 Haziran,30 Haziran
Mardin,Midyat,Geven,25 Haziran,20 Temmuz
Mardin,Midyat,Sarı Diken,1 Mayıs,15 Mayıs
Mardin,Midyat,Üçgül,15 Nisan,20 Mayıs
Mardin,Midyat,Yavşan Otu Çiçeği,10 Mayıs,30 Haziran
Mardin,Mazıdağı,Geven,28 Haziran,15 Temmuz
Mardin,Mazıdağı,Hardal,25 Mayıs,10 Haziran
Mardin,Mazıdağı,Kangal Mor Diken,12 Haziran,25 Temmuz
Mardin,Mazıdağı,Sarı Diken,1 Haziran,10 Temmuz
Mardin,Mazıdağı,Topuz Dikenı,20 Haziran,30 Temmuz
Mardin,Mazıdağı,Yonca(Üçgül),17 Nisan,15 Mayıs
Mardin,Dargeçit,Kekik,20 Nisan,30 Ağustos
Mardin,Yeşilli,Kekik,15 Nisan,1 Haziran
Mardin,Yeşilli,Kiraz,1 Mart,1 Nisan
Mardin,Derik,Badem,25-30 Nisan,15-25 Mayıs
Mardin,Derik,Dağ Kekiği,5- 10 Nisan,5-10 Haziran
Mardin,Derik,Diken,5- 10 Nisan,5-10 Haziran
Mardin,Derik,Geven,5- 10 Nisan,5-10 Haziran
Mardin,Derik,Bostan,5- 10 Nisan,5-10 Haziran
Mardin,Derik,Sütleğen,5- 10 Nisan,5-10 Haziran
Mardin,Derik,Misir,15 Ağustos,10 Eylül
Mardin,Derik,Nar,15-20 Mart,15-20 Mayıs
Mardin,Derik,Pamuk,5-10 Ağustos,5-10 Eylül
Mardin,Derik,Üzüm,5-10 Mayıs,15-20 Haziran
