İl,İlçe,Bitki,Çiçeklenme Başlangıç,Çiçeklenme Bitiş
Isparta,Merkez,Kir Kekiği,15 Nisan,25 Haizran
Isparta,Merkez,Ada Çayı,15 Nisan,25 Haizran
Isparta,Merkez,Geven,15 Nisan,25 Haizran
Isparta,Merkez,Yonca,15 Nisan,25 Haizran
Isparta,Merkez,Üçgül,15 Nisan,25 Haizran
Isparta,Merkez,Y,15 Nisan,25 Haizran
Isparta,Merkez,Hardal,15 Nisan,25 Haizran
Isparta,Merkez,Korunga,15 Nisan,25 Haizran
Isparta,Merkez,Meyve Ağaçları,15 Nisan,25 Haizran
Isparta,Gelendost,Karamuk,5 Mayıs,30 Temmuz
Isparta,Gelendost,Kekik,5 Mayıs,30 Temmuz
Isparta,Gelendost,Geven,5 Mayıs,30 Temmuz
Isparta,Gelendost,Yonca,5 Mayıs,30 Temmuz
Isparta,Gelendost,Üçgül,5 Mayıs,30 Temmuz
Isparta,Gelendost,Y. Korunga,5 Mayıs,30 Temmuz
Isparta,Gelendost,Hardal,5 Mayıs,30 Temmuz
Isparta,Gelendost,Tarla Ayrığı,5 Mayıs,30 Temmuz
Isparta,Gelendost,Şapla,5 Mayıs,30 Temmuz
Isparta,Gönen,Yonca,25 Nisan,30 Haziran
Isparta,Gönen,Geven,25 Nisan,30 Haziran
Isparta,Gönen,Hardal,25 Nisan,30 Haziran
Isparta,Gönen,Kir Kekiği,25 Nisan,30 Haziran
Isparta,Yalvaç,Geven,10 Nisan,17 Haziran
Isparta,Yalvaç,Kir Kekiği,10 Nisan,17 Haziran
Isparta,Yalvaç,Üçgül,10 Nisan,17 Haziran
Isparta,Yalvaç,Şerbetçi Otu,10 Nisan,17 Haziran
Isparta,Yalvaç,Korunga,10 Nisan,17 Haziran
Isparta,Yalvaç,Yonca,10 Nisan,17 Haziran
Isparta,Yalvaç,Korunga,10 Nisan,17 Haziran
Isparta,Yalvaç,Fiğ,10 Nisan,17 Haziran
Isparta,Yalvaç,Üçgül,10 Nisan,17 Haziran
Isparta,Yalvaç,Geven,10 Nisan,17 Haziran
Isparta,Uluborlu,Taş Kekiği,21 Mart,23 Temmuz
Isparta,Uluborlu,S. Kuyruğu,21 Mart,23 Temmuz
Isparta,Uluborlu,A. Yonca,21 Mart,23 Temmuz
Isparta,Uluborlu,Acımık Otu,21 Mart,23 Temmuz
Isparta,Uluborlu,Geven,21 Mart,23 Temmuz
Isparta,Uluborlu,Hardal,21 Mart,23 Temmuz
Isparta,Uluborlu,Sütleğen,21 Mart,23 Temmuz
Isparta,Uluborlu,Y. Kor. Çiğdem,21 Mart,23 Temmuz
Isparta,Uluborlu,Çoban Döşeği,21 Mart,23 Temmuz
Isparta,Uluborlu,Ayva Dana,21 Mart,23 Temmuz
Isparta,Uluborlu,Dağ Çayı,21 Mart,23 Temmuz
Isparta,Uluborlu,Mor Çiçek,21 Mart,23 Temmuz
