İl,İlçe,Bitki,Çiçeklenme Başlangıç,Çiçeklenme Bitiş
Diyarbakır,Bağlar,T. Kuyruğu,15 Mart,15 Eylül
Diyarbakır,Bağlar,Korunga,15 Mart,15 Eylül
Diyarbakır,Bağlar,Sütleğen,15 Mart,15 Eylül
Diyarbakır,Bağlar,Ballıbaba,15 Mart,15 Eylül
Diyarbakır,Bağlar,Kekik,15 Mart,15 Eylül
Diyarbakır,Bağlar,Yonca.,15 Mart,15 Eylül
Diyarbakır,Bağlar,Üçgül,15 Mart,15 Eylül
Diyarbakır,Bağlar,S. Diken,15 Mart,15 Eylül
Diyarbakır,Bağlar,Geven,15 Mart,15 Eylül
Diyarbakır,Bağlar,Karacadağ Çarşağı,15 Mart,15 Eylül
Diyarbakır,Bağlar,Pamuk,15 Mart,15 Eylül
Diyarbakır,Bağlar,P. Çiçeği,15 Mart,15 Eylül
Diyarbakır,Bağlar,D. Dikeni,15 Mart,15 Eylül
Diyarbakır,Bismil,Geven,15 Mart,15 Eylül
Diyarbakır,Bismil,Y. Üçgül,15 Mart,15 Eylül
Diyarbakır,Bismil,Hardal,15 Mart,15 Eylül
Diyarbakır,Bismil,Y. Korunga,15 Mart,15 Eylül
Diyarbakır,Bismil,Y. Yonca,15 Mart,15 Eylül
Diyarbakır,Bismil,C. Perçemi,15 Mart,15 Eylül
Diyarbakır,Bismil,Gazal Boynuzu,15 Mart,15 Eylül
Diyarbakır,Bismil,Ballıbaba,15 Mart,15 Eylül
Diyarbakır,Bismil,E. Dikeni,15 Mart,15 Eylül
Diyarbakır,Bismil,Ebegömeci,15 Mart,15 Eylül
Diyarbakır,Bismil,Sütleğen,15 Mart,15 Eylül
Diyarbakır,Bismil,F. Kulağı,15 Mart,15 Eylül
Diyarbakır,Bismil,Sığırdili,15 Mart,15 Eylül
Diyarbakır,Bismil,K. Yumağı,15 Mart,15 Eylül
Diyarbakır,Bismil,Hardal,15 Mart,15 Eylül
Diyarbakır,Çermik,Y. Yonca,5 Nisan,1 Ağustos
Diyarbakır,Çermik,Geven,5 Nisan,1 Ağustos
Diyarbakır,Çermik,Kekik,5 Nisan,1 Ağustos
Diyarbakır,Çermik,Hatmi,5 Nisan,1 Ağustos
Diyarbakır,Çermik,Çakıldikeni,5 Nisan,1 Ağustos
Diyarbakır,Çermik,F. Kulağı,5 Nisan,1 Ağustos
Diyarbakır,Çermik,Üçgül,5 Nisan,1 Ağustos
Diyarbakır,Çermik,E. Dikeni,5 Nisan,1 Ağustos
Diyarbakır,Çermik,Papatya,5 Nisan,1 Ağustos
Diyarbakır,Çermik,Devedikeni,5 Nisan,1 Ağustos
