İl,İlçe,Bitki,Çiçeklenme Başlangıç,Çiçeklenme Bitiş
Kırşehir,Merkez,Geven,25 Nisan,15 Temmuz
Kırşehir,Merkez,Kekik,20 Mayıs,10 Temmuz
Kırşehir,Merkez,Melissa,15 Mayıs,10 Temmuz
Kırşehir,Merkez,Kuş Gözü,20 Mayıs,15 Temmuz
Kırşehir,Merkez,Ayçiçek,10 Haziran,25 Temmuz
Kırşehir,Merkez,Korunga,05 Mayıs,10 Temmuz
Kırşehir,Merkez,Erik,05 Nisan,25 Mayıs
Kırşehir,Merkez,Elma,05 Nisan,25 Mayıs
Kırşehir,Merkez,Badem,05 Nisan,25 Mayıs
Kırşehir,Merkez,Kiraz,05 Nisan,25 Mayıs
Kırşehir,Merkez,İğde,05 Nisan,25 Mayıs
Kırşehir,Akçakent,Yonca,20 Mayıs,20 Temmuz
Kırşehir,Akçakent,Ayçiçeği,10 Haziran,25 Temmuz
Kırşehir,Akçakent,Kekik,20 Mayıs,10 Temmuz
Kırşehir,Akçakent,Nane,20 Mayıs,15 Temmuz
Kırşehir,Akçakent,Fiğ,10 Mayıs,25 Haziran
Kırşehir,Akçakent,Korunga,05 Mayıs,10 Temmuz
Kırşehir,Akçakent,Reyhan,10 Haziran,25 Temmuz
Kırşehir,Akpınar,Geven,25 Nisan,15 Temmuz
Kırşehir,Akpınar,Kekik,20 Mayıs,10 Temmuz
Kırşehir,Akpınar,Melissa,15 Mayıs,10 Temmuz
Kırşehir,Akpınar,Karahindi Bağ (Karahindiba),10 Nisan,20 Mayıs
Kırşehir,Akpınar,Ballıbaba,25 Nisan,20 Haziran
Kırşehir,Akpınar,Ebegümeci,01 Mayıs,30 Haziran
Kırşehir,Akpınar,Siğır Kuyruğu,25 Mayıs,20 Ağustos
Kırşehir,Akpınar,Üzerlik Otu,15 Mayıs,30 Temmuz
Kırşehir,Akpınar,Deve Dikeni,01 Mayıs,30 Temmuz
Kırşehir,Akpınar,Çakır Dikeni,01 Mayıs,25 Temmuz
Kırşehir,Akpınar,Civan Perçemi,20 Mayıs,25 Temmuz
Kırşehir,Akpınar,Ökse Otu,20 Mayıs,20 Temmuz
Kırşehir,Akpınar,Hardal,25 Nisan,20 Haziran
Kırşehir,Akpınar,Peygamber Çiçeği,20 Mayıs,20 Temmuz
Kırşehir,Akpınar,Kadıbaşı,25 Mayıs,20 Temmuz
Kırşehir,Akpınar,Kuşgözü,20 Mayıs,15 Temmuz
Kırşehir,Akpınar,Ayçiçek,10 Haziran,25 Temmuz
Kırşehir,Akpınar,Korunga,05 Mayıs,10 Temmuz
Kırşehir,Akpınar,Meyve Ağaçları,05 Nisan,25 Mayıs
Kırşehir,Boztepe,Yonca,20 Mayıs,20 Temmuz
Kırşehir,Boztepe,Korunga,05 Mayıs,10 Temmuz
Kırşehir,Boztepe,Geven,25 Nisan,15 Temmuz
Kırşehir,Boztepe,Ayçiçeği,10 Haziran,25 Temmuz
Kırşehir,Boztepe,Fiğ,10 Mayıs,25 Haziran
Kırşehir,Boztepe,Meyve Ağacı,05 Nisan,25 Mayıs
Kırşehir,Boztepe,Hardal,25 Nisan,20 Haziran
Kırşehir,Boztepe,Peygamber Çiçeği,20 Mayıs,20 Temmuz
Kırşehir,Çiçekdağı,Korunga,05 Mayıs,10 Temmuz
Kırşehir,Çiçekdağı,Yonca,20 Mayıs,20 Temmuz
Kırşehir,Çiçekdağı,Hardal,25 Nisan,20 Haziran
Kırşehir,Çiçekdağı,Geven,25 Nisan,15 Temmuz
Kırşehir,Çiçekdağı,Kekik,20 Mayıs,10 Temmuz
Kırşehir,Çiçekdağı,Ayçiçeği,10 Haziran,25 Temmuz
Kırşehir,Çiçekdağı,Fiğ,10 Mayıs,25 Haziran
Kırşehir,Çiçekdağı,Ceviz,10 Mayıs,10 Haziran
Kırşehir,Çiçekdağı,Çam,01 Mayıs,20 Mayıs
Kırşehir,Kaman,Geven,01 Mayıs,15 Eylül
Kırşehir,Kaman,Deve Dikeni,15 Mayıs,01 Eylül
Kırşehir,Kaman,Zerdeli Dikeni,20 Mayıs,10 Eylül
Kırşehir,Kaman,Gelin Düğmesi,20 Mayıs,20 Ağustos
Kırşehir,Kaman,Alıç,30 Nisan,25 Mayıs
Kırşehir,Kaman,Akdiken,01 Mayıs,30 Mayıs
Kırşehir,Kaman,Siğir Kuyruğu,01 Haziran,10 Eylül
Kırşehir,Kaman,İğde,10 Mayıs,30 Mayıs
Kırşehir,Kaman,Sütleğen,15 Mayıs,15 Temmuz
Kırşehir,Kaman,Katır Tırnağı,15 Mayıs,15 Temmuz
Kırşehir,Kaman,Kantaron,10 Haziran,15 Ağustos
Kırşehir,Kaman,Ceviz,15 Mayıs,15 Haziran
Kırşehir,Kaman,Ballıbaba,10 Mayıs,30 Haziran
Kırşehir,Kaman,Yonca,01 Haziran,20 Ağustos
Kırşehir,Mucur,Korunga,05 Mayıs,10 Temmuz
Kırşehir,Mucur,Yonca,20 Mayıs,20 Temmuz
Kırşehir,Mucur,Hardal,25 Nisan,20 Haziran
Kırşehir,Mucur,Geven,25 Nisan,15 Temmuz
Kırşehir,Mucur,Fiğ,10 Mayıs,25 Haziran
Kırşehir,Mucur,Meyve Ağaçları,05 Nisan,25 Mayıs
