İl,İlçe,Bitki,Çiçeklenme Başlangıç,Çiçeklenme Bitiş
Manisa,Ahmetli,Badem,1 Şubat,1 Nisan
Manisa,Ahmetli,Hayıt,3 Mayıs,5 Temmuz
Manisa,Ahmetli,Çam,15 Ağustos,1 Kasım
Manisa,Ahmetli,Papatya,15 Şubat,15 Nisan
Manisa,Ahmetli,Kekik,15 Mayıs,15 Haziran
Manisa,Ahmetli,Dağ Çileği,1 Nisan,1 Mayıs
Manisa,Ahmetli,Sarmaşık,1 Nisan,15 Ekim
Manisa,Akhisar,Hardal,15 Nisan,7 Mayıs
Manisa,Akhisar,Karaağaç,20 Ocak,10 Şubat
Manisa,Akhisar,Dilfir,20 Nisan,15 Mayıs
Manisa,Akhisar,Papatya,1 Şubat,20 Mart
Manisa,Akhisar,Çaltı,15 Mayıs,10 Haziran
Manisa,Akhisar,Taş Bademi(Acıbadem),20 Ocak,20 Şubat
Manisa,Akhisar,Mor Diken,15 Mayıs,20 Haziran
Manisa,Akhisar,Deve Dikenı,20 Mayıs,25 Haziran
Manisa,Akhisar,Çiriş Otu,15 Nisan,1 Mayıs
Manisa,Akhisar,Ilgın,20 Nisan,10 Mayıs
Manisa,Akhisar,Gelincik,20 Nisan,30 Haziran
Manisa,Akhisar,Fişılga(Karaot),1 Temmuz,10 Ağustos
Manisa,Akhisar,Sütlü Sarmaşık,20 Temmuz,10 Eylül
Manisa,Akhisar,Çörtük,20 Haziran,10 Ağustos
Manisa,Akhisar,Yabani Nane,1 Temmuz,30 Temmuz
Manisa,Akhisar,Semizotu,30 Haziran,1 Eylül
Manisa,Akhisar,Deve Çökerten,20 Haziran,1 Ağustos
Manisa,Akhisar,Domuz Pitrağı,1 Temmuz,1 Eylül
Manisa,Akhisar,Isırgan,1 Mayıs,1 Temmuz
Manisa,Akhisar,Hayıt,20 Haziran,20 Temmuz
Manisa,Akhisar,Ebegümeci,1 Mayıs,1 1 haziran
Manisa,Akhisar,Yaban Fiği,20 Nisan,20 Mayıs
Manisa,Akhisar,Akasya,10 Mayıs,1 Haziran
Manisa,Akhisar,İğde,1 Mayıs,30 Mayıs
Manisa,Akhisar,Sumak,1 Ağustos,1 Eylül
Manisa,Akhisar,Davulga,1 Mart,30 Mart
Manisa,Akhisar,Yabani Böğürtlen,20 Haziran,1 Eylül
Manisa,Akhisar,Güvem,1 Haziran,1 Eylül
Manisa,Akhisar,Domuz Eriği,25 Haziran,15 Temmuz
Manisa,Alaşehir,Hardal,15 Nisan,7 Mayıs
Manisa,Alaşehir,Karaağaç,20 Ocak,10 Şubat
Manisa,Alaşehir,Çaltı,15 Mayıs,10 Haziran
Manisa,Alaşehir,Deve Dikenı,20 Mayıs,25 Haziran
