İl,İlçe,Bitki,Çiçeklenme Başlangıç,Çiçeklenme Bitiş
Ordu,Akkuş,Kekik,15 Nisan,15 Temmuz
Ordu,Akkuş,Geven,15 Nisan,15 Temmuz
Ordu,Akkuş,Adaçayı,15 Nisan,15 Temmuz
Ordu,Akkuş,Yakı Otu,15 Nisan,15 Temmuz
Ordu,Akkuş,Orman Gülü,15 Nisan,15 Temmuz
Ordu,Akkuş,F Iğ Orman Gülü,15 Nisan,15 Temmuz
Ordu,Akkuş,Kestane,15 Nisan,15 Temmuz
Ordu,Akkuş,Ihlamur,15 Nisan,15 Temmuz
Ordu,Akkuş,Akasya.,15 Nisan,15 Temmuz
Ordu,Altınordu,Akasya,25 Nisan,1 Ağustos
Ordu,Altınordu,Kestane,25 Nisan,1 Ağustos
Ordu,Altınordu,Bögürtlen,25 Nisan,1 Ağustos
Ordu,Altınordu,Orman Sarmaşığı,25 Nisan,1 Ağustos
Ordu,Aybastı,Orman Gülü,15 Haziran,15 Eylül
Ordu,Çamaş,Üçgül,5 Mayıs,5 Temmuz
Ordu,Çamaş,Akasya,5 Mayıs,5 Temmuz
Ordu,Çamaş,Kargaburnu,5 Mayıs,5 Temmuz
Ordu,Çamaş,Ihlamur,5 Mayıs,5 Temmuz
Ordu,Çamaş,Taflan,5 Mayıs,5 Temmuz
Ordu,Çamaş,Kiraz,5 Mayıs,5 Temmuz
Ordu,Çamaş,Kestane,5 Mayıs,5 Temmuz
Ordu,Çaybaşı,Kekik,15 Nisan,15 Temmuz
Ordu,Çaybaşı,Geven,15 Nisan,15 Temmuz
Ordu,Çaybaşı,Kestane,15 Nisan,15 Temmuz
Ordu,Çaybaşı,Akasya,15 Nisan,15 Temmuz
Ordu,Çaybaşı,Orman Gülü,15 Nisan,15 Temmuz
Ordu,Fatsa,Kiraz,15 Nisan,15 Temmuz
Ordu,Fatsa,Elma,15 Nisan,15 Temmuz
Ordu,Fatsa,Armut,15 Nisan,15 Temmuz
Ordu,Fatsa,Akasya,15 Nisan,15 Temmuz
Ordu,Fatsa,Kestane,15 Nisan,15 Temmuz
Ordu,Fatsa,Kekik,15 Nisan,15 Temmuz
Ordu,Fatsa,Ormangülü,15 Nisan,15 Temmuz
Ordu,Fatsa,Taflan,15 Nisan,15 Temmuz
Ordu,Gölköy,Kestane,15 Nisan,15 Temmuz
Ordu,Gölköy,Orman Gülü,15 Nisan,15 Temmuz
Ordu,Gölköy,Akasya,15 Nisan,15 Temmuz
Ordu,Gölköy,Kekik,15 Nisan,15 Temmuz
Ordu,Gülyalı,Kestane,15 Nisan,15 Temmuz
Ordu,Gülyalı,Orman Gülü,15 Nisan,15 Temmuz
Ordu,Gülyalı,Akasya,15 Nisan,15 Temmuz
Ordu,Gürgentepe,Akasya,15 Nisan,15 Temmuz
Ordu,Gürgentepe,Ormangülü,15 Nisan,15 Temmuz
Ordu,Gürgentepe,Kestane,15 Nisan,15 Temmuz
Ordu,Gürgentepe,Kekik,15 Nisan,15 Temmuz
Ordu,İkizce,Akasya,15 Nisan,15 Haziran
Ordu,İkizce,Kestane,15 Nisan,15 Haziran
Ordu,İkizce,Ihlamur,15 Nisan,15 Haziran
Ordu,İkizce,Taflan,15 Nisan,15 Haziran
Ordu,İkizce,Üçgül,15 Nisan,15 Haziran
Ordu,Kabadüz,Kekik,5 Haziran,20 Ağustos
Ordu,Kabadüz,Orman Gülü,5 Haziran,20 Ağustos
Ordu,Kabadüz,Kestane. Akasya,5 Haziran,20 Ağustos
Ordu,Kabadüz,Ihlamur,5 Haziran,20 Ağustos
Ordu,Kabataş,Kekik,15 Nisan,15 Temmuz
Ordu,Kabataş,Ormangülü,15 Nisan,15 Temmuz
Ordu,Kabataş,Akasya,15 Nisan,15 Temmuz
Ordu,Kabataş,Ihlamur,15 Nisan,15 Temmuz
Ordu,Kabataş,Kestane,15 Nisan,15 Temmuz
Ordu,Kabataş,Yaban Mersini,15 Nisan,15 Temmuz
Ordu,Kabataş,Üçgül,15 Nisan,15 Temmuz
