İl,İlçe,Bitki,Çiçeklenme Başlangıç,Çiçeklenme Bitiş
Niğde,Merkez,Elma,20 Nisan,01 Mayıs
Niğde,Merkez,Geven,01 Mayıs,20 Temmuz
Niğde,Merkez,Kekik,01 Mayıs,20 Temmuz
Niğde,Merkez,Kır Çiçekleri,01 Mayıs,20 Temmuz
Niğde,Altunhisar,Elma,01 Nisan,15 Nisan
Niğde,Altunhisar,Geven,20 Nisan,20 Temmuz
Niğde,Altunhisar,Kekik,20 Nisan,20 Temmuz
Niğde,Altunhisar,Kır Çiçekleri,20 Nisan,20 Temmuz
Niğde,Bor,Elma,01 Nisan,15 Nisan
Niğde,Bor,Geven,20 Nisan,20 Temmuz
Niğde,Bor,Kekik,20 Nisan,20 Temmuz
Niğde,Bor,Kır Çiçekleri,20 Nisan,20 Temmuz
Niğde,Çamardı,Elma,25 Nisan,05 Mayıs
Niğde,Çamardı,Geven,30 Nisan,30 Temmuz
Niğde,Çamardı,Kekik,30 Nisan,30 Temmuz
Niğde,Çamardı,Kır Çiçekleri,30 Nisan,30 Temmuz
Niğde,Çiftlik,Geven,01 Mayıs,30 Temmuz
Niğde,Çiftlik,Kekik,01 Mayıs,30 Temmuz
Niğde,Çiftlik,Kır Çiçekleri,01 Mayıs,30 Temmuz
Niğde,Çiftlik,Elma,25 Nisan,05 Mayıs
Niğde,Çiftlik,Kiraz,25 Nisan,05 Mayıs
Niğde,Ulukışla,Geven,20 Nisan,30 Temmuz
Niğde,Ulukışla,Kekik,20 Nisan,30 Temmuz
Niğde,Ulukışla,Kır Çiçekleri,20 Nisan,30 Temmuz
