İl,İlçe,Bitki,Çiçeklenme Başlangıç,Çiçeklenme Bitiş
Konya,Ahrılı,Çiğdem,15 Şubat,5 Mart
Konya,Ahrılı,Sümbül,15 Şubat,5 Mart
Konya,Ahrılı,Sögüt (Polen),01 Nisan,10 Nisan
Konya,Ahrılı,Keçi Bademi,1 Mart,10 Mart
Konya,Ahrılı,Yabani Erik,20 Mart,30 Mart
Konya,Ahrılı,Erik,1 Nisan,20 Nisan
Konya,Ahrılı,Yabani Armut,1 Nisan,20 Nisan
Konya,Ahrılı,Elma,20 Nisan,20 Mayıs
Konya,Ahrılı,Vişne,1 Mayıs,25 Mayıs
Konya,Ahrılı,Kiraz,15 Nisan,15 Mayıs
Konya,Ahrılı,Akasya,10 Mayıs,25 Mayıs
Konya,Ahrılı,İğde,20 Mayıs,5 Haziran
Konya,Ahrılı,Ihlamur,10 Haziran,20 Haziran
Konya,Ahrılı,Karahindibaba,1 Nisan,20 Nisan
Konya,Ahrılı,Yonca,10 Mayıs,10 Haziran
Konya,Ahrılı,Kantaron,10 Mayıs,25 Mayıs
Konya,Ahrılı,Ballık,15 Mayıs,15 Haziran
Konya,Ahrılı,Karamuk (Yayla),10 Mayıs,1 Haziran
Konya,Ahrılı,Sığır Kuyrugu,10 Haziran,10 Temmuz
Konya,Ahrılı,Yer Kekiği,10 Haziran,10 Temmuz
Konya,Ahrılı,Ada Çayı Çeşitleri,10 Haziran,5 Temmuz
Konya,Ahrılı,Taş Kekiği,20 Temmuz,10 Ağustos
Konya,Ahrılı,Çeven,20 Haziran,20 Temmuz
Konya,Ahrılı,Çam,20 Haziran,20 Temmuz
Konya,Ahrılı,Meşe,20 Haziran,20 Temmuz
Konya,Akören,Elma,8 Nisan,9 Mayıs
Konya,Akören,Badem,25 Mart,25 Nisan
Konya,Akören,Kiraz,1 Nisan,1 Mayıs
Konya,Akşehir,Kiraz,15 Nisan,15 Mayıs
Konya,Akşehir,Vişne,15 Nisan,15 Mayıs
Konya,Akşehir,Elma,25 Nisan,15 Mayıs
Konya,Akşehir,Badem,1 Nisan,15 Nisan
Konya,Akşehir,Erik,10 Nisan,25 Nisan
Konya,Akşehir,Haşhaş,5 Mayıs,20 Mayıs
Konya,Akşehir,Ayçiçeği,20 Haziran,10 Temmuz
Konya,Akşehir,Aspir,15 Mayıs,30 Mayıs
Konya,Akşehir,Macar Fiği,15 Nisan,30 Nisan
Konya,Akşehir,Mısır,10 Temmuz,30 Temmuz
Konya,Akşehir,Tavşanak,15 Mayıs,15 Haziran
Konya,Akşehir,Ballıca,15 Mart,15 Nisan
Konya,Akşehir,Gökbaş,30 Mart,20 Nisan
Konya,Akşehir,Hardal,25 Nisan,25 Mayıs
Konya,Akşehir,Kekik,15 Haziran,15 Temmuz
