İl,İlçe,Bitki,Çiçeklenme Başlangıç,Çiçeklenme Bitiş
Bursa,Büyükorhan,Tırfıl,15 Nisan,10 Mayıs
Bursa,Büyükorhan,Karakekik,15 Nisan,10 Mayıs
Bursa,Büyükorhan,Çam,01 Ağustos,15 Ekim
Bursa,Gemlik,Püren,15 Eylül,20 Aralık
Bursa,Gemlik,Kocayemiş,15 Eylül,20 Aralık
Bursa,Gemlik,Kestane,1 Haziran,30 Haziran
Bursa,Gemlik,İhlamur,1 Haziran,30 Haziran
Bursa,Gemlik,Yonca,15 Mart,15 Mayıs
Bursa,Gemlik,Korunga,15 Mart,15 Mayıs
Bursa,Gemlik,Üçgül,15 Mart,15 Mayıs
Bursa,Gürsu,Armut,20 Mart,20 Nisan
Bursa,Gürsu,Elma,20 Mart,20 Nisan
Bursa,Gürsu,Şeftali,15 Mart,15 Nisan
Bursa,Gürsu,Nektarin,15 Mart,15 Nisan
Bursa,Gürsu,Yonca,25 Nisan,25 Mayıs
Bursa,Gürsu,Fiğ,25 Nisan,25 Mayıs
Bursa,Gürsu,Korunga,15 Haziran,15 Temmuz
Bursa,Gürsu,Mısır,15 Haziran,15 Temmuz
Bursa,Gürsu,İhlamur,1 Haziran,30 Haziran
Bursa,Gürsu,Isırgan,10 Mayıs,20 Mayıs
Bursa,Gürsu,Söğüt,15 Nisan,15 Mayıs
Bursa,Gürsu,Akasya,15 Nisan,15 Mayıs
Bursa,Harmancık,Kiraz,1 Nisan,30 Nisan
Bursa,Harmancık,Yonca,1 Nisan,15 Mayıs
Bursa,Harmancık,Korunga-Fiğ,1 Haziran,20 Haziran
Bursa,Harmancık,Elma,1 Mayıs,20 Mayıs
Bursa,İnegöl,Ayva,7 Mayıs,30 Mayıs
Bursa,İnegöl,Elma,1 Nisan,15 Mayıs
Bursa,İnegöl,Kiraz,15 Mart,30 Nisan
Bursa,İnegöl,Armut,15 Mart,30 Nisan
Bursa,İnegöl,İhlamur,15 Mart,30 Nisan
Bursa,İnegöl,Şeftali,1 Nisan,30 Nisan
Bursa,İnegöl,Kestane,1 Nisan,30 Nisan
Bursa,İnegöl,Erik,1 Mart,30 Nisan
Bursa,İnegöl,Ayçiçeği,1 Haziran,30 Temmuz
Bursa,İnegöl,Kanola,1 Mayıs,1 Haziran
Bursa,İznik,Yem Şalgamı,1 Şubat,15 Nisan
Bursa,İznik,Mısır,1 Mayıs,1 Eylül
Bursa,İznik,Yonca,1 Mayıs,1 Eylül
Bursa,İznik,Kiraz,1 Mart,30 Mayıs
Bursa,İznik,Erik,1 Mart,15 Mayıs
Bursa,İznik,Badem,1 Ocak,15 Nisan
Bursa,İznik,Akasya,1 Nisan,30 Haziran
Bursa,İznik,Anason,1 Nisan,30 Haziran
Bursa,İznik,Tırfıl,1 Nisan,30 Haziran
Bursa,İznik,İhlamur,1 Haziran,30 Temmuz
Bursa,İznik,Kekik,1 Mayıs,1 Ekim
Bursa,İznik,Tavşan Otu,1 Haziran,1 Eylül
Bursa,İznik,Karaçalı,1 Mayıs,30 Haziran
Bursa,İznik,Nane,1 Mayıs,30 Haziran
Bursa,İznik,Pamucak,1 Mayıs,30 Haziran
Bursa,İznik,Tesbih Ağacı,1 Mayıs,30 Haziran
Bursa,İznik,Kestane,1 Haziran,1 Temmuz
Bursa,İznik,Davulga,1 Eylül,30 Ekim
Bursa,İznik,Sarmaşık,1 Eylül,30 Ekim
Bursa,İznik,Sumak,1 Eylül,30 Kasım
Bursa,İznik,Püren,1 Ağustos,30 Ekim
Bursa,İznik,Ballibaba,1 Şubat,30 Kasım
Bursa,İznik,Böğürtlen,1 Mayıs,30 Ağustos
Bursa,İznik,Ayçiçeği,1 Temmuz,1 Eylül
Bursa,İznik,Karabaş,1 Nisan,30 Mayıs
Bursa,İznik,Defne,1 Nisan,30 Mayıs
Bursa,İznik,Meşe,1 Nisan,30 Mayıs
Bursa,İznik,Kızılcık,1 Şubat,30 Mart
Bursa,İznik,Hardal,1 Ocak,30 Eylül
Bursa,İznik,Fiğ,1 Ekim,30 Kasım
Bursa,İznik,Korunga,30 Mayıs,30 Haziran
Bursa,İznik,Deve Dikenı,1 Temmuz,30 Ağustos
Bursa,İznik,Yakı Otu,1 Mayıs,30 Eylül
Bursa,İznik,Engerek Otu,1 Mayıs,30 Eylül
Bursa,İznik,Sığır Dili,1 Nisan,30 Temmuz
Bursa,İznik,Erik Otu,1 Mayıs,30 Ekim
Bursa,İznik,Üçgül,1 Mart,30 Eylül
Bursa,İznik,Laden,1 Mart,30 Haziran
Bursa,Karacabey,Ihlamur,10 Haziran,30 Temmuz
Bursa,Karacabey,Hayıt,15 Eylül,15 Ekim
Bursa,Karacabey,Kestane,10 Haziran,20 Temmuz
Bursa,Karacabey,Tırfil,15 Mayıs,15 Ağustos
Bursa,Karacabey,Çakır Dikenı,10 Temmuz,15 Eylül
Bursa,Keles,Elma,1 Nisan,20 Mayıs
Bursa,Keles,Kiraz,10 Nisan,20 Mayıs
Bursa,Keles,Çörekotu,1 Haziran,1 Temmuz
Bursa,Keles,Ahududu,1 Haziran,1 Temmuz
Bursa,Keles,Badem,1 Nisan,20 Nisan
Bursa,Keles,Ayçiçeği,1 Temmuz,25 Temmuz
Bursa,Keles,Böğürtlen,1 Temmuz,25 Temmuz
Bursa,Keles,Kekik,1 Mayıs,20 Mayıs
Bursa,Keles,Sumak,20 Haziran,1 Temmuz
Bursa,Keles,Kuşburnu,1 Mayıs,25 Mayıs
Bursa,Keles,Çilek,15 Mayıs,10 Temmuz
Bursa,Keles,Karaçalı,1 Haziran,20 Haziran
Bursa,Keles,Erik,1 Nisan,15 Nisan
Bursa,Kestel,Elma,1 Mayıs,10 Haziran
Bursa,Kestel,Erik,13 Mart,1 Mayıs
Bursa,Kestel,Ahududu,10 Mayıs,15 Haziran
Bursa,Kestel,Şeftali,15 Nisan,25 Mayıs
Bursa,Kestel,Kiraz,20 Nisan,25 Mayıs
Bursa,Kestel,Armut,1 Mayıs,5 Haziran
Bursa,Kestel,Kestane,20 Mayıs,20 Haziran
Bursa,Kestel,Böğürtlen,1 Mayıs,1 Eylül
Bursa,Kestel,Ayva,1 Mayıs,30 Mayıs
Bursa,Kestel,Kekik,1 Ekim,1 Aralık
Bursa,Kestel,Yabani Yonca,15 Mayıs,1 Eylül
Bursa,Kestel,Papatya,15 Şubat,15 Nisan
Bursa,Kestel,Sarı Kantaron,15 Haziran,5 Ağustos
Bursa,Kestel,Kara Çalı,15 Mayıs,15 Ağustos
Bursa,Kestel,Püren,15 Temmuz,1 Ekim
Bursa,Kestel,Pamucak,15 Mayıs,1 Haziran
Bursa,Kestel,Ayçiçeği,20 Temmuz,20 Ağustos
Bursa,Kestel,Çilek,1 Mart,1 Aralık
Bursa,Kestel,Ihlamur,1 Haziran,30 Haziran
Bursa,Mudanya,Elma,1 Nisan,20 Mayıs
Bursa,Mudanya,Şeftali,1 Nisan,20 Mayıs
Bursa,Mudanya,Armut,1 Nisan,20 Mayıs
Bursa,Mudanya,Kızılçam,1 Haziran,31 Temmuz
Bursa,Mudanya,Ayçiçeği,1 Temmuz,30 Eylül
Bursa,Mudanya,Davulga,1 Ekim,31 Aralık
Bursa,Mudanya,Ihlamur,1 Haziran,30 Haziran
Bursa,Mudanya,Püren,1 Temmuz,30 Kasım
Bursa,Mudanya,Kekik,1 Nisan,31 Ağustos
Bursa,Mudanya,Defne,1 Mart,30 Nisan
Bursa,Mudanya,Turp Otu (Yabani Turp),1 Mart,31 Mayıs
Bursa,Mudanya,Orman Gülü,1 Mayıs,30 Haziran
Bursa,Mudanya,Kara Çalı,1 Mayıs,30 Haziran
Bursa,Mudanya,Yonca,1 Mayıs,31 Ağustos
Bursa,Mudanya,Kantoron,1 Mayıs,31 Temmuz
Bursa,Mudanya,Ebegümeci,1 Mayıs,31 Ekim
Bursa,Mudanya,Pitrak,1 Nisan,30 Haziran
Bursa,Mustafa Kemalpaşa,Adaçayı,15 Nisan,1 Temmuz
Bursa,Mustafa Kemalpaşa,Akasya,15 Mart,15 Nisan
Bursa,Mustafa Kemalpaşa,Bakla,15 Mart,15 Nisan
Bursa,Mustafa Kemalpaşa,Şeftali,15 Mart,15 Nisan
Bursa,Mustafa Kemalpaşa,Karahindiba,15 Mart,15 Nisan
Bursa,Mustafa Kemalpaşa,Defne,15 Mart,15 Nisan
Bursa,Mustafa Kemalpaşa,Anadolu Çiçeği (Tüylü Ballıbaba),1 Nisan,15 Haziran
Bursa,Mustafa Kemalpaşa,Armut,15 Mart,30 Nisan
Bursa,Mustafa Kemalpaşa,Badem,15 Şubat,15 Mart
Bursa,Mustafa Kemalpaşa,Çiğdem,15 Şubat,15 Mart
Bursa,Mustafa Kemalpaşa,Ballı Baba,1 Nisan,15 Mayıs
Bursa,Mustafa Kemalpaşa,Biberiye,15 Mart,30 Haziran
Bursa,Mustafa Kemalpaşa,Böğürtlen,15 Nisan,15 Eylül
Bursa,Mustafa Kemalpaşa,Dağ Çayı,1 Mayıs,15 Ağustos
Bursa,Mustafa Kemalpaşa,Deve Dikeni (Eşek Dikeni),1 Haziran,1 Haziran
Bursa,Mustafa Kemalpaşa,Engerek Otu,15 Mayıs,15 Ekim
Bursa,Mustafa Kemalpaşa,Fiğ,15 Nisan,15 Mayıs
Bursa,Mustafa Kemalpaşa,Gelincik,15 Nisan,15 Temmuz
Bursa,Mustafa Kemalpaşa,Güneş Çiçeği,1 Haziran,15 Ağustos
Bursa,Mustafa Kemalpaşa,Hardal,15 Mart,15 Mayıs
Bursa,Mustafa Kemalpaşa,Hayıt,15 Haziran,15 Temmuz
Bursa,Mustafa Kemalpaşa,Ihlamur,1 Mayıs,15 Mayıs
Bursa,Mustafa Kemalpaşa,Isırgan,15 Nisan,1 Haziran
Bursa,Mustafa Kemalpaşa,Koca Yemiş (Davulga),1 Eylül,1 Kasım
Bursa,Mustafa Kemalpaşa,Köpek Dili,1 Nisan,15 Temmuz
Bursa,Mustafa Kemalpaşa,Kuş Burnu,15 Nisan,1 Ağustos
Bursa,Mustafa Kemalpaşa,Meşe,1 Ağustos,15 Eylül
Bursa,Mustafa Kemalpaşa,Püren,1 Eylül,15 Kasım
Bursa,Mustafa Kemalpaşa,Sığır Dili,1 Mayıs,1 Temmuz
Bursa,Mustafa Kemalpaşa,Sığır Kuyruğu,1 Mart,1 Eylül
Bursa,Mustafa Kemalpaşa,Şalba,1 Haziran,15 Temmuz
Bursa,Mustafa Kemalpaşa,Karaçalı,1 Haziran,15 Temmuz
Bursa,Mustafa Kemalpaşa,Yalancı Akasya,15 Nisan,15 Haziran
Bursa,Nilüfer,Elma,10 Nisan,5 Mayıs
Bursa,Nilüfer,Armut,10 Nisan,5 Mayıs
Bursa,Nilüfer,Şeftali,1 Nisan,30 Nisan
Bursa,Nilüfer,Nektarin,1 Nisan,30 Nisan
Bursa,Nilüfer,Zeytin,15 Mayıs,15 Haziran
Bursa,Nilüfer,Ayva,15 Nisan,10 Mayıs
Bursa,Nilüfer,Ayçiçeği,1 Haziran,15 Temmuz
Bursa,Nilüfer,Çilek,1 Mart,15 Mart
Bursa,Orhaneli,Yavşan Otu,Ocak başlangıcı,Ocak sonuna doğru
Bursa,Orhaneli,İçel Kardeleni,Şubat başlangıcı,Şubat ortası
Bursa,Orhaneli,Çoban Zurnası,Şubat başlangıcı,Şubat ortası
Bursa,Orhaneli,Sarı Çiğdem,Şubat başlangıcı,Şubat ortası
Bursa,Orhaneli,Sarı Yıldız,Şubat başlangıcı,Şubat ortası
Bursa,Orhaneli,Menengiç,15 Mart,Mart sonuna doğru
Bursa,Orhaneli,Arap Üzümü,15 Mart,15 Mayıs
Bursa,Orhaneli,Sakarca,15 Mart,15 Mayıs
Bursa,Orhaneli,Dönbaba,15 Mart,15 Mayıs
Bursa,Orhaneli,Üçgül,15 Mart,15 Mayıs
Bursa,Orhaneli,Kaplan Otu,15 Mart,15 Temmuz
Bursa,Orhaneli,Kırım Güzeli,15 Mart,15 Temmuz
Bursa,Orhaneli,Kanarya Otu,15 Mart,15 Ağustos
Bursa,Orhaneli,Karahindiba Otu,15 Mart,15 Ağustos
Bursa,Orhaneli,Öksürük Otu,15 Mart,15 Nisan
Bursa,Orhaneli,Köpek Marulu,15 Mart,15 Nisan
Bursa,Orhaneli,Kaz Teresi,15 Mart,15 Nisan
Bursa,Orhaneli,Ballıbaba,15 Mart,15 Nisan
Bursa,Orhaneli,Dağ Lalesi,15 Mart,15 Nisan
Bursa,Orhaneli,Çuha Çiçeği,15 Mart,15 Haziran
Bursa,Orhaneli,Sarı Kantaron,15 Nisan,15 Eylül
Bursa,Orhaneli,Çadır Çiçeği,15 Nisan,15 Ağustos
Bursa,Orhaneli,Hoş Taşkıran,15 Nisan,15 Ağustos
Bursa,Orhaneli,Kırlangıç Otu,15 Nisan,15 Ağustos
Bursa,Orhaneli,Baldiran Otu,15 Nisan,15 Ağustos
Bursa,Orhaneli,Develi Otu,15 Nisan,15 Ağustos
Bursa,Orhaneli,Püsküllü Baş,15 Nisan,15 Temmuz
Bursa,Orhaneli,Gelin Tacı,15 Nisan,15 Temmuz
Bursa,Orhaneli,Dağ Nanesi,15 Nisan,15 Haziran
Bursa,Orhaneli,Beyaz Papatya,15 Nisan,15 Haziran
Bursa,Orhaneli,Üçdil Otu,15 Nisan,15 Haziran
Bursa,Orhaneli,Sarımsak Hardalı,15 Nisan,15 Haziran
Bursa,Orhaneli,Eşek Kafesotu,15 Nisan,15 Haziran
Bursa,Orhaneli,Deliyonca,15 Nisan,15 Haziran
Bursa,Orhaneli,Dövülmüş Avrat Otu,15 Nisan,15 Haziran
Bursa,Orhaneli,Kızılağaç,15 Nisan,15 Mayıs
Bursa,Orhaneli,Unutmabeni Çiçeği,15 Nisan,15 Mayıs
Bursa,Orhaneli,Rumeli Kazgagası,15 Nisan,15 Mayıs
Bursa,Orhaneli,Ege Incisi,15 Nisan,15 Mayıs
Bursa,Orhaneli,Sarı Düğün Çiçeği,15 Nisan,15 Mayıs
Bursa,Orhaneli,Kokulu Menekşe,15 Nisan,15 Mayıs
Bursa,Zembil otu,Nisan Sonu,15 Ağustos,
Bursa,Zembil otu,Sığır Kuyruğu,15 Mayıs,15 Ağustos
