İl,İlçe,Bitki,Çiçeklenme Başlangıç,Çiçeklenme Bitiş
Eskişehir,Alpu,Ayçiçeği,1 Nisan,31 Temmuz
Eskişehir,Alpu,Korunga,15 Haziran,15 Temmuz
Eskişehir,Alpu,Mısır,15 Haziran,15 Temmuz
Eskişehir,Alpu,Hayıt,15 Haziran,15 Temmuz
Eskişehir,Alpu,Mor Diken,15 Haziran,15 Temmuz
Eskişehir,Alpu,Korunga,15 Haziran,15 Temmuz
Eskişehir,Alpu,Böğürtlen,15 Nisan,31 Ağustos
Eskişehir,Alpu,Karaçalı,15 Mayıs,30 Haziran
Eskişehir,Alpu,Kestane,10 Haziran,25 Haziran
Eskişehir,Alpu,Çam,20 Temmuz,31 Ekim
Eskişehir,Alpu,Harnup,15 Eylül,15 Ekim
Eskişehir,Alpu,Gelincik,15 Nisan,15 Temmuz
Eskişehir,Alpu,Kekik,1 Nisan,31 Ağustos
Eskişehir,Alpu,Yonca,1 Mayıs,30 Haziran
Eskişehir,Alpu,Isırgan,10 Mayıs,20 Mayıs
Eskişehir,Alpu,Elma,15 Nisan,5 Mayıs
Eskişehir,Alpu,Armut,5 Mayıs,25 Mayıs
Eskişehir,Alpu,Kiraz,15 Nisan,20 Mayıs
Eskişehir,Alpu,Vişne,1 Mayıs,30 Mayıs
Eskişehir,Alpu,Fiğ,20 Nisan,20 Mayıs
Eskişehir,Alpu,Papatya,1 Nisan,30 Mayıs
Eskişehir,Alpu,Badem,15 Şubat,20 Mart
Eskişehir,Alpu,Akasya,30 Mayıs,20 Haziran
Eskişehir,Alpu,Bakla,15 Nisan,15 Haziran
Eskişehir,Alpu,Söğüt,15 Nisan,15 Mayıs
Eskişehir,Alpu,Yaban Gülü,15 Nisan,15 Mayıs
Eskişehir,Alpu,Kayısı,15 Nisan,15 Mayıs
Eskişehir,Alpu,Akça Ağaç,1 Nisan,15 Nisan
Eskişehir,Alpu,Yabani Fesleğen,15 Mayıs,15 Haziran
Eskişehir,Alpu,İğde,10 Mayıs,10 Haziran
Eskişehir,Alpu,Deve Dikeni,1 Temmuz,20 Temmuz
Eskişehir,Çifteler,Elma,01Mayıs,15 Temmuz
Eskişehir,Çifteler,Ballı Bitkiler,01Mayıs,15 Temmuz
Eskişehir,Çifteler,Mısır,01Mayıs,15 Temmuz
Eskişehir,Çifteler,Fiğ,01Mayıs,15 Temmuz
Eskişehir,Çifteler,Ayçiçeği,01Mayıs,15 Temmuz
Eskişehir,Çifteler,Yonca,01Mayıs,15 Temmuz
Eskişehir,Çifteler,Diken Türleri,01Mayıs,15 Temmuz
Eskişehir,Çifteler,Kabak,01Mayıs,15 Temmuz
Eskişehir,Günyüzü,Kekik,10 Nisan,10 Mayıs
Eskişehir,Günyüzü,Yavşan Otu,10 Nisan,10 Mayıs
Eskişehir,Günyüzü,Sarı Ot,10 Nisan,10 Mayıs
Eskişehir,Günyüzü,Kanola,15 Nisan,15 Mayıs
Eskişehir,Günyüzü,Haşhaş,15 Nisan,15 Mayıs
Eskişehir,Günyüzü,Ceviz,1 Nisan,15 Mayıs
Eskişehir,Günyüzü,Böğürtlen,1 Nisan,15 Mayıs
Eskişehir,Günyüzü,Yabani Papatya,1 Nisan,15 Mayıs
Eskişehir,Günyüzü,Akasya,1 Nisan,15 Mayıs
Eskişehir,Günyüzü,Macar Fiği,1 Nisan,15 Mayıs
Eskişehir,Günyüzü,Elma,1 Nisan,15 Mayıs
Eskişehir,Günyüzü,Badem,1 Nisan,15 Mayıs
Eskişehir,Günyüzü,Ayçiçeği,15 Haziran,15 Temmuz
Eskişehir,Han,Elma,1 Nisan,20 Mayıs
Eskişehir,Han,Lavanta,1 Haziran,15 Ağustos
Eskişehir,Han,Hatmi,1 Haziran,15 Ağustos
Eskişehir,Han,Adaçayı,1 Haziran,15 Ağustos
Eskişehir,Han,Sığır Kuyruğu,15 Haziran,15 Eylül
