İl,İlçe,Bitki,Çiçeklenme Başlangıç,Çiçeklenme Bitiş
Mersin,Aydıncık,Harnup,15 Nisan-1 Mayıs,1 Temmuz
Mersin,Aydıncık,Püren,15 Nisan-1 Mayıs,1 Temmuz
Mersin,Aydıncık,Çam,15 Nisan-1 Mayıs,1 Temmuz
Mersin,Aydıncık,Badem,15 Nisan-1 Mayıs,1 Temmuz
Mersin,Aydıncık,Yeni Dünya,15 Nisan-1 Mayıs,1 Temmuz
Mersin,Aydıncık,Defne,15 Nisan-1 Mayıs,1 Temmuz
Mersin,Aydıncık,Elma,15 Nisan-1 Mayıs,1 Temmuz
Mersin,Aydıncık,Yaban Gülü,15 Nisan-1 Mayıs,1 Temmuz
Mersin,Aydıncık,Ada Çayı,15 Nisan-1 Mayıs,1 Temmuz
Mersin,Aydıncık,Karaçalı,15 Nisan-1 Mayıs,1 Temmuz
Mersin,Aydıncık,Fiğ,15 Nisan-1 Mayıs,1 Temmuz
Mersin,Aydıncık,Üçgül,15 Nisan-1 Mayıs,1 Temmuz
Mersin,Aydıncık,Yonca,15 Nisan-1 Mayıs,1 Temmuz
Mersin,Aydıncık,Kekik,15 Nisan-1 Mayıs,1 Temmuz
Mersin,Aydıncık,Böğürtleğen,15 Nisan-1 Mayıs,1 Temmuz
Mersin,Bozyazı,Karaçam,15 Ağustos,30 Kasım
Mersin,Bozyazı,Kızılçam,15 Ağustos,30 Kasım
Mersin,Bozyazı,Ardıç,15 Ağustos,30 Kasım
Mersin,Bozyazı,Çaltı,15 Ağustos,30 Kasım
Mersin,Bozyazı,Kekik,15 Ağustos,30 Kasım
Mersin,Bozyazı,Murt,15 Ağustos,30 Kasım
Mersin,Bozyazı,Harnup,15 Ağustos,30 Kasım
Mersin,Çamlıyayla,Üçgül,15 Mart,30 Haziran
Mersin,Çamlıyayla,Tesbih Çalısı,15 Mart,30 Haziran
Mersin,Çamlıyayla,Sandal,15 Mart,30 Haziran
Mersin,Anamur,Y. Korunga,20 Şubat,15 Nisan
Mersin,Anamur,Y. Yonca,20 Şubat,15 Nisan
Mersin,Anamur,Kirkekiği,20 Şubat,15 Nisan
Mersin,Anamur,Karağan,20 Şubat,15 Nisan
Mersin,Anamur,Okaliptos,20 Şubat,15 Nisan
Mersin,Anamur,Akdeniz Bitki Topluluğu Sandal,20 Şubat,15 Nisan
Mersin,Anamur,Meyve Ağaçları,20 Şubat,15 Nisan
Mersin,Yenişehir,Narenciye,1 Mart,15 Mayıs
Mersin,Yenişehir,Çam,1 Mart,15 Mayıs
Mersin,Yenişehir,Y. Yonca,1 Mart,15 Mayıs
Mersin,Yenişehir,Kırkekiği,1 Mart,15 Mayıs
Mersin,Yenişehir,Meyve Ve Ağaçları,1 Mart,15 Mayıs
Mersin,Yenişehir,Y. Murt,1 Mart,15 Mayıs
Mersin,Yenişehir,Sandal,1 Mart,15 Mayıs
Mersin,Yenişehir,Üçgül,1 Mart,15 Mayıs
Mersin,Yenişehir,Adaçayı,1 Mart,15 Mayıs
Mersin,Erdemli,Narenciye,15 Mart,15 Mayıs
Mersin,Erdemli,Sebze,15 Mart,15 Mayıs
Mersin,Erdemli,Meyve Ağaçları,15 Mart,15 Mayıs
Mersin,Erdemli,Çam,15 Mart,15 Mayıs
Mersin,Erdemli,Maki,15 Mart,15 Mayıs
Mersin,Tarsus,Akasya,10 Şubat,25 Mart
Mersin,Tarsus,Sarı Papatya,15 Şubat,30 Nisan
Mersin,Tarsus,Hardal,10 Şubat,15 Nisan
Mersin,Tarsus,Koçayemiş,25 Şubat,25 Mart
Mersin,Tarsus,Lavanta,10 Haziran,25 Temmuz
Mersin,Tarsus,Nergiz,15 Aralık,15 Şubat
Mersin,Tarsus,Kırkekiği,01 Nisan,10 Haziran
Mersin,Tarsus,Geven,10 Nisan,10 Temmuz
Mersin,Tarsus,Harnup,01 Eylül,15 Ekim
Mersin,Tarsus,Kızılcık,10 Mart,10 Nisan
Mersin,Tarsus,Alıç,10 Nisan,10 Mayıs
Mersin,Tarsus,Isırganotu,01 Nisan,31 Mayıs
Mersin,Tarsus,Üzüm,10 Mayıs,10 Haziran
Mersin,Tarsus,Korunga,10 Nisan,10 Haziran
Mersin,Tarsus,Kekikotu,01 Mayıs,15 Haziran
Mersin,Tarsus,Adaçayı,15 Nisan,30 Mayıs
Mersin,Tarsus,Böğürtlen,15 Nisan,10 Haziran
Mersin,Tarsus,Menengiç,15 Nisan,15 Mayıs
Mersin,Tarsus,Meşe,10 Nisan,20 Mayıs
Mersin,Tarsus,Defne,10 Nisan,20 Mayıs
Mersin,Tarsus,Nar,15 Nisan,30 Mayıs
Mersin,Tarsus,Trabzon Hurması,01 Mayıs,31 Mayıs
Mersin,Tarsus,Turunçgiller,10 Mart,20 Nisan
Mersin,Tarsus,Badem,15 Şubat,20 Mart
Mersin,Tarsus,Nektarin,10 Mart,30 Mart
Mersin,Tarsus,Şeftali,15 Mart,05 Nisan
Mersin,Tarsus,Erik,15 Mart,05 Nisan
Mersin,Tarsus,Kayısı,01 Mart,25 Mart
Mersin,Tarsus,Kiraz,20 Mart,10 Nisan
